epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,14262,0.49638,0.41494,0.98234,0.89895,0.93971,0.92956,0.79702,0.57972,0.56745,0.97971,0.0010628,0.0010628,0.0010628
73,14394.1,0.49746,0.41864,0.9828,0.92766,0.90309,0.92833,0.78523,0.61473,0.61085,1.01482,0.0010496,0.0010496,0.0010496
74,14520.6,0.48936,0.39339,0.98792,0.95534,0.88028,0.91531,0.77432,0.61695,0.64241,1.00732,0.0010364,0.0010364,0.0010364
75,14647.3,0.4758,0.40691,0.97759,0.94712,0.88292,0.9305,0.80114,0.57561,0.55749,0.97204,0.0010232,0.0010232,0.0010232
76,14773.4,0.46901,0.40427,0.98495,0.93956,0.88732,0.92801,0.81235,0.57243,0.55674,0.98595,0.00101,0.00101,0.00101
77,14905.1,0.46196,0.40526,0.96884,0.93207,0.90845,0.91748,0.79342,0.59325,0.56793,1.00145,0.0009968,0.0009968,0.0009968
78,15040,0.48432,0.4308,0.99561,0.90167,0.90409,0.9248,0.79501,0.57389,0.57993,0.97442,0.0009836,0.0009836,0.0009836
79,15166.1,0.49831,0.41378,0.98274,0.91293,0.90141,0.91913,0.7837,0.57454,0.59124,0.99705,0.0009704,0.0009704,0.0009704
80,15290.2,0.45797,0.40405,0.99449,0.93324,0.85211,0.93452,0.80937,0.56083,0.5802,0.97805,0.0009572,0.0009572,0.0009572
81,15411.7,0.47232,0.39407,0.97796,0.91745,0.91549,0.93817,0.80048,0.58283,0.53286,0.96894,0.000944,0.000944,0.000944
82,15533.6,0.48693,0.4095,0.97726,0.90832,0.92254,0.94446,0.80729,0.55553,0.54276,0.96414,0.0009308,0.0009308,0.0009308
83,15654.9,0.45344,0.40133,0.95346,0.92573,0.89437,0.92629,0.78703,0.59484,0.57615,1.00163,0.0009176,0.0009176,0.0009176
84,15775.9,0.45244,0.38355,0.96821,0.92358,0.88732,0.91855,0.79689,0.59139,0.60055,0.99817,0.0009044,0.0009044,0.0009044
85,15897.4,0.45036,0.38793,0.97555,0.90132,0.89437,0.93251,0.80611,0.58797,0.64052,0.98139,0.0008912,0.0008912,0.0008912
86,16018.2,0.43251,0.39443,0.97313,0.93967,0.87324,0.92599,0.79783,0.58116,0.65427,0.99051,0.000878,0.000878,0.000878
87,16139.4,0.43865,0.38578,0.96004,0.95872,0.87324,0.92411,0.81152,0.56784,0.64974,0.9594,0.0008648,0.0008648,0.0008648
88,16260.9,0.44567,0.36306,0.98029,0.91397,0.89783,0.91395,0.78663,0.58953,0.65271,0.97879,0.0008516,0.0008516,0.0008516
89,16381.3,0.41123,0.3506,0.96418,0.94235,0.90141,0.93087,0.7939,0.58288,0.5958,1.00796,0.0008384,0.0008384,0.0008384
90,16502.6,0.41965,0.35633,0.96682,0.9413,0.92254,0.93639,0.79645,0.5602,0.56812,0.99193,0.0008252,0.0008252,0.0008252
91,16623.3,0.44405,0.37597,0.95517,0.9244,0.92254,0.93584,0.80582,0.56555,0.60631,0.98938,0.000812,0.000812,0.000812
92,16744.1,0.46672,0.42631,0.97947,0.94098,0.89821,0.93007,0.80289,0.57734,0.60801,0.99006,0.0007988,0.0007988,0.0007988
93,16864.3,0.42772,0.37612,0.96757,0.92879,0.88732,0.92439,0.80453,0.58062,0.61737,0.9968,0.0007856,0.0007856,0.0007856
94,16985.3,0.42693,0.34885,0.95375,0.92129,0.90678,0.92521,0.81188,0.56786,0.54621,0.99473,0.0007724,0.0007724,0.0007724
95,17106.9,0.39021,0.35132,0.95647,0.93341,0.88839,0.93587,0.8027,0.56158,0.51891,0.98609,0.0007592,0.0007592,0.0007592
96,17227.7,0.44104,0.34615,0.95098,0.9544,0.89437,0.92998,0.80682,0.5683,0.56137,0.99222,0.000746,0.000746,0.000746
97,17348.5,0.42057,0.41964,0.96968,0.94715,0.88355,0.91846,0.81452,0.55184,0.56267,0.96878,0.0007328,0.0007328,0.0007328
98,17468.8,0.42078,0.35702,0.94511,0.92039,0.89562,0.91635,0.81217,0.56294,0.58711,0.982,0.0007196,0.0007196,0.0007196
99,17589.6,0.43983,0.36422,0.95243,0.92711,0.90141,0.90127,0.78846,0.55758,0.60067,0.96917,0.0007064,0.0007064,0.0007064
100,17710.2,0.42959,0.39241,0.95559,0.93133,0.88732,0.9317,0.83089,0.53919,0.56479,0.95303,0.0006932,0.0006932,0.0006932
101,17831.2,0.43142,0.36412,0.93814,0.9403,0.88729,0.94394,0.83223,0.54056,0.56583,0.95981,0.00068,0.00068,0.00068
102,17951.9,0.41681,0.33486,0.96117,0.92826,0.91126,0.93107,0.81723,0.54404,0.54407,0.96928,0.0006668,0.0006668,0.0006668
103,18072.6,0.41354,0.34109,0.93998,0.92215,0.91757,0.93802,0.8315,0.54013,0.54792,0.96406,0.0006536,0.0006536,0.0006536
104,18193.2,0.39538,0.33147,0.95079,0.94668,0.89437,0.93843,0.8212,0.55491,0.53609,0.96941,0.0006404,0.0006404,0.0006404
