epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,13050.7,0.60335,0.66808,1.06809,0.72311,0.7384,0.72394,0.60737,0.74967,1.12472,1.21761,0.00119666,0.00119666,0.00119666
59,13275.7,0.61793,0.6766,1.08648,0.79754,0.75767,0.74853,0.61464,0.72447,0.98723,1.18389,0.0011884,0.0011884,0.0011884
60,13501,0.6169,0.66326,1.06819,0.77262,0.65988,0.72672,0.57695,0.79245,1.131,1.23171,0.00118015,0.00118015,0.00118015
61,13730.5,0.61907,0.70229,1.08195,0.79712,0.73025,0.75952,0.61524,0.73547,1.04199,1.19569,0.0011719,0.0011719,0.0011719
62,13955.6,0.60538,0.66155,1.05741,0.73398,0.78413,0.74008,0.61875,0.69726,0.96838,1.17427,0.00116365,0.00116365,0.00116365
63,14180.2,0.6073,0.65774,1.06035,0.80084,0.7185,0.75249,0.62261,0.72862,0.98654,1.19374,0.0011554,0.0011554,0.0011554
64,14406,0.62875,0.66278,1.07822,0.73992,0.75838,0.72649,0.58343,0.74363,1.05904,1.20194,0.00114715,0.00114715,0.00114715
65,14630.6,0.60456,0.66633,1.0737,0.75481,0.69402,0.73442,0.59907,0.77892,1.0779,1.2343,0.00113889,0.00113889,0.00113889
66,14855.5,0.63322,0.66029,1.07578,0.74857,0.76694,0.7587,0.62523,0.73681,0.97712,1.21943,0.00113064,0.00113064,0.00113064
67,15080.6,0.61359,0.6628,1.0759,0.75859,0.73797,0.72679,0.58694,0.72926,1.05081,1.20965,0.00112239,0.00112239,0.00112239
68,15305.4,0.60188,0.6583,1.07762,0.78724,0.74746,0.74706,0.60124,0.76482,1.14331,1.26053,0.00111414,0.00111414,0.00111414
69,15531.3,0.59657,0.64304,1.06218,0.77928,0.73302,0.74138,0.60624,0.72223,1.04911,1.20744,0.00110589,0.00110589,0.00110589
70,15756.4,0.60178,0.635,1.06552,0.71853,0.76435,0.734,0.59043,0.77305,1.01258,1.26411,0.00109764,0.00109764,0.00109764
71,15981.6,0.56902,0.62003,1.0544,0.65501,0.71764,0.61805,0.51495,0.76893,1.60621,1.28868,0.00108938,0.00108938,0.00108938
72,16205.9,0.58488,0.64634,1.06834,0.75796,0.73367,0.70368,0.57912,0.72312,1.14478,1.22337,0.00108113,0.00108113,0.00108113
73,16429.1,0.59224,0.62025,1.0575,0.74466,0.78967,0.73662,0.59857,0.72214,0.99574,1.18845,0.00107288,0.00107288,0.00107288
74,16652.2,0.58832,0.61144,1.06101,0.77409,0.7691,0.7481,0.62131,0.71017,1.00857,1.19257,0.00106463,0.00106463,0.00106463
75,16874.9,0.57704,0.6004,1.06258,0.72914,0.72435,0.71429,0.58135,0.75073,1.0579,1.21355,0.00105638,0.00105638,0.00105638
76,17098.3,0.58129,0.61124,1.05652,0.74417,0.71319,0.71804,0.59698,0.75646,1.04324,1.23795,0.00104813,0.00104813,0.00104813
77,17327,0.56484,0.59764,1.05374,0.78114,0.72954,0.76139,0.62731,0.71469,1.00006,1.17272,0.00103987,0.00103987,0.00103987
78,17550.1,0.5712,0.59153,1.03137,0.81256,0.72695,0.75048,0.62834,0.71594,1.07643,1.20351,0.00103162,0.00103162,0.00103162
79,17773.3,0.56772,0.6123,1.04708,0.75769,0.72849,0.7308,0.59919,0.66894,0.97627,1.14254,0.00102337,0.00102337,0.00102337
80,17996.7,0.57117,0.58457,1.04477,0.797,0.72393,0.74973,0.62456,0.70454,1.02848,1.18058,0.00101512,0.00101512,0.00101512
81,18220,0.57017,0.57656,1.04812,0.74595,0.76105,0.7018,0.582,0.68764,1.1063,1.1695,0.00100687,0.00100687,0.00100687
82,18447.1,0.56154,0.56368,1.03182,0.81702,0.72669,0.74584,0.62139,0.71234,1.05186,1.19941,0.000998616,0.000998616,0.000998616
83,18678.8,0.55679,0.55272,1.04147,0.77236,0.73199,0.74719,0.61132,0.74825,1.0132,1.22953,0.000990365,0.000990365,0.000990365
84,18914.9,0.54814,0.54993,1.02723,0.79689,0.74087,0.74307,0.61611,0.69865,0.98679,1.18075,0.000982113,0.000982113,0.000982113
85,19156.2,0.55414,0.55323,1.03944,0.7202,0.75163,0.73145,0.59941,0.75712,1.09032,1.25058,0.000973861,0.000973861,0.000973861
86,19379.5,0.53213,0.55092,1.02915,0.79987,0.71933,0.73328,0.60254,0.71875,1.02178,1.22569,0.00096561,0.00096561,0.00096561
87,19602.6,0.56846,0.57417,1.04072,0.71793,0.76949,0.72745,0.58518,0.74484,1.05916,1.21503,0.000957358,0.000957358,0.000957358
88,19826.4,0.54689,0.55232,1.04763,0.754,0.72281,0.71848,0.60685,0.70645,1.07022,1.20326,0.000949106,0.000949106,0.000949106
89,20050.5,0.55358,0.55494,1.03433,0.7881,0.75268,0.76058,0.63865,0.71773,1.01476,1.21733,0.000940855,0.000940855,0.000940855
90,20274.5,0.55124,0.58799,1.03523,0.80567,0.74084,0.75387,0.63994,0.69534,0.92348,1.2038,0.000932603,0.000932603,0.000932603
91,20498.2,0.56535,0.55127,1.04063,0.80876,0.73739,0.75426,0.62257,0.71472,0.97955,1.20723,0.000924352,0.000924352,0.000924352
92,20722,0.54597,0.51583,1.02137,0.80092,0.76167,0.75571,0.62027,0.72835,1,1.21059,0.0009161,0.0009161,0.0009161
93,20944.4,0.54888,0.53164,1.0269,0.73507,0.78579,0.74889,0.61836,0.74041,1.06739,1.23171,0.000907848,0.000907848,0.000907848
94,21168.3,0.56209,0.53612,1.03241,0.79949,0.73551,0.77488,0.63458,0.7248,0.94724,1.20036,0.000899597,0.000899597,0.000899597
95,21391.8,0.5629,0.53458,1.03848,0.81519,0.73271,0.74128,0.62061,0.72159,0.96294,1.20358,0.000891345,0.000891345,0.000891345
96,21616,0.54721,0.5428,1.03526,0.77071,0.77032,0.74804,0.61354,0.69601,1.04685,1.19205,0.000883093,0.000883093,0.000883093
97,21838.4,0.53455,0.5172,1.03042,0.77879,0.73939,0.74095,0.62107,0.68966,0.9849,1.18194,0.000874842,0.000874842,0.000874842
98,22061.8,0.53289,0.55057,1.02284,0.77112,0.76026,0.75269,0.61761,0.70766,0.97371,1.19877,0.00086659,0.00086659,0.00086659
99,22285.4,0.50007,0.50473,1.02142,0.74579,0.76741,0.73949,0.62611,0.68549,0.98337,1.16919,0.000858338,0.000858338,0.000858338
100,22508.6,0.53555,0.52572,1.02644,0.77554,0.75592,0.75203,0.62064,0.68787,0.96952,1.15805,0.000850087,0.000850087,0.000850087
101,22732.2,0.53091,0.52819,1.0185,0.82052,0.72954,0.75874,0.61737,0.7298,1.0004,1.20015,0.000841835,0.000841835,0.000841835
102,22955.6,0.50564,0.48671,1.0071,0.74645,0.77527,0.74337,0.63069,0.69535,0.99209,1.17741,0.000833583,0.000833583,0.000833583
