epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1702.98,0.57017,0.62373,1.03017,0.91267,1,0.9575,0.83569,0.55596,1.02126,1.18423,0.0008714,0.0008714,0.0008714
59,1721.87,0.50242,0.68434,0.9871,0.90887,1,0.9575,0.87177,0.50044,0.94956,1.16158,0.0008516,0.0008516,0.0008516
60,1740.71,0.51958,0.60357,0.97011,0.98985,1,0.995,0.87693,0.50568,0.94156,1.13387,0.0008318,0.0008318,0.0008318
61,1759.48,0.51596,0.64938,0.98097,0.98985,1,0.995,0.87693,0.50568,0.94156,1.13387,0.000812,0.000812,0.000812
62,1778.07,0.52562,0.63506,0.98472,0.99456,1,0.995,0.89817,0.48793,1.0008,1.10688,0.0007922,0.0007922,0.0007922
63,1796.69,0.54607,0.62568,0.97445,0.91137,1,0.9875,0.83976,0.50915,0.96334,1.15577,0.0007724,0.0007724,0.0007724
64,1815.49,0.44191,0.58546,0.90518,0.99585,1,0.995,0.85187,0.51554,0.90895,1.14875,0.0007526,0.0007526,0.0007526
65,1834.83,0.48969,0.63054,0.96196,0.99585,1,0.995,0.85187,0.51554,0.90895,1.14875,0.0007328,0.0007328,0.0007328
66,1865.04,0.50347,0.55007,0.99583,0.99519,1,0.995,0.89061,0.55013,0.82674,1.15226,0.000713,0.000713,0.000713
67,1884.05,0.41813,0.50484,0.93275,0.99393,1,0.995,0.89381,0.53554,0.84235,1.1546,0.0006932,0.0006932,0.0006932
68,1902.96,0.51186,0.59315,0.95333,0.99547,1,0.995,0.88169,0.53762,0.8339,1.15431,0.0006734,0.0006734,0.0006734
69,1921.67,0.60055,0.61667,1.03238,0.99547,1,0.995,0.88169,0.53762,0.8339,1.15431,0.0006536,0.0006536,0.0006536
70,1940.43,0.49536,0.58292,0.94268,0.91278,1,0.9875,0.8404,0.58183,0.95626,1.18698,0.0006338,0.0006338,0.0006338
71,1959.12,0.44422,0.55348,0.94501,0.99533,1,0.995,0.86814,0.56406,0.94595,1.1725,0.000614,0.000614,0.000614
72,1977.74,0.53168,0.56597,0.96891,0.99518,1,0.995,0.87404,0.48747,0.78695,1.13856,0.0005942,0.0005942,0.0005942
73,1996.16,0.47581,0.57358,0.94665,0.99518,1,0.995,0.87404,0.48747,0.78695,1.13856,0.0005744,0.0005744,0.0005744
74,2015.03,0.50353,0.55932,0.95685,0.99512,1,0.995,0.89382,0.47616,0.79282,1.13944,0.0005546,0.0005546,0.0005546
75,2033.75,0.50422,0.57947,0.97423,0.99518,1,0.995,0.90029,0.52966,0.82398,1.1748,0.0005348,0.0005348,0.0005348
76,2052.61,0.46007,0.55405,0.92646,0.99502,1,0.995,0.80341,0.66987,0.87522,1.26621,0.000515,0.000515,0.000515
77,2072.15,0.49074,0.57261,0.94447,0.99502,1,0.995,0.80341,0.66987,0.87522,1.26621,0.0004952,0.0004952,0.0004952
78,2091.65,0.47552,0.54479,0.97908,0.99532,1,0.995,0.78128,0.70871,0.8226,1.31796,0.0004754,0.0004754,0.0004754
79,2111.42,0.52632,0.61781,1.00407,0.99579,1,0.995,0.80531,0.65556,0.80653,1.27153,0.0004556,0.0004556,0.0004556
80,2130.4,0.46501,0.60425,0.97293,0.99617,1,0.995,0.78756,0.64886,0.84109,1.25776,0.0004358,0.0004358,0.0004358
81,2149.12,0.4778,0.50342,0.95353,0.99617,1,0.995,0.78756,0.64886,0.84109,1.25776,0.000416,0.000416,0.000416
82,2167.85,0.46846,0.52188,0.9675,0.99744,1,0.995,0.83378,0.73603,0.82182,1.32963,0.0003962,0.0003962,0.0003962
83,2186.39,0.55243,0.61441,1.00104,1,0.99971,0.995,0.76005,0.78221,0.88408,1.33527,0.0003764,0.0003764,0.0003764
84,2205.15,0.3615,0.55114,0.92904,1,0.99823,0.995,0.73343,0.80151,0.89593,1.333,0.0003566,0.0003566,0.0003566
85,2223.65,0.43585,0.54623,0.94091,1,0.99823,0.995,0.73343,0.80151,0.89593,1.333,0.0003368,0.0003368,0.0003368
86,2242.27,0.41153,0.52272,0.91741,0.99584,1,0.995,0.80331,0.66357,0.85303,1.2195,0.000317,0.000317,0.000317
87,2260.96,0.43261,0.52956,0.91377,0.99411,1,0.995,0.82638,0.56586,0.8193,1.12396,0.0002972,0.0002972,0.0002972
88,2279.47,0.34993,0.4718,0.91448,0.99388,1,0.995,0.88169,0.49832,0.78536,1.05241,0.0002774,0.0002774,0.0002774
89,2298.96,0.4737,0.53417,0.98146,0.99388,1,0.995,0.88169,0.49832,0.78536,1.05241,0.0002576,0.0002576,0.0002576
90,2317.53,0.37865,0.49799,0.90512,0.99489,1,0.995,0.91538,0.46314,0.781,1.01672,0.0002378,0.0002378,0.0002378
91,2336.11,0.31861,0.57817,0.86604,0.99562,1,0.995,0.89661,0.4536,0.75831,1.01005,0.000218,0.000218,0.000218
92,2355.06,0.35356,0.57499,0.88786,0.99534,1,0.995,0.89276,0.45723,0.73472,0.99414,0.0001982,0.0001982,0.0001982
93,2373.85,0.34132,0.53496,0.92582,0.99534,1,0.995,0.89276,0.45723,0.73472,0.99414,0.0001784,0.0001784,0.0001784
94,2392.5,0.33388,0.53297,0.87165,0.99496,1,0.995,0.85251,0.4298,0.75972,0.98051,0.0001586,0.0001586,0.0001586
95,2411.06,0.29606,0.50399,0.89349,0.99455,1,0.995,0.89031,0.41008,0.76584,0.97078,0.0001388,0.0001388,0.0001388
96,2429.7,0.28826,0.4813,0.81516,0.99539,1,0.995,0.87189,0.40291,0.74806,0.96329,0.000119,0.000119,0.000119
97,2447.9,0.30204,0.60916,0.87417,0.99539,1,0.995,0.87189,0.40291,0.74806,0.96329,9.92e-05,9.92e-05,9.92e-05
98,2466.44,0.2879,0.51331,0.84631,0.99546,1,0.995,0.88749,0.39717,0.74577,0.95467,7.94e-05,7.94e-05,7.94e-05
99,2485.02,0.30078,0.46641,0.87722,0.99557,1,0.995,0.9006,0.39558,0.73512,0.94871,5.96e-05,5.96e-05,5.96e-05
100,2503.53,0.28781,0.51299,0.84215,0.99559,1,0.995,0.88801,0.38442,0.73739,0.94228,3.98e-05,3.98e-05,3.98e-05
